Company,Ticker,Watchlist Status,Watchlist Status_Encoded,Suspension Status,Suspension Status_Encoded,Sector,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,Price/CF,1-yr %Rev. Chg.,Debt ($M),Debt/Equity,Mkt Cap ($M) Category,Tot. Rev ($M) Category,Price/CF Category,Debt ($M) Category,Debt/Equity Category,Price/CF_Risk_Score,Debt ($M)_Risk_Score,Debt/Equity_Risk_Score,Mkt Cap ($M)_Risk_Score,Tot. Rev ($M)_Risk_Score,CountLowRisk,CountMediumRisk,CountHighRisk,Insolvency Risk (0-2)
TSH,KUH,No,0,No,0,Cyclical Consumer Services,0.1,5.2,4.436,10.944,67,0,-44.75,-62.96,0,3.58,2.76,22.82,14.59197475,64.73,Low,Low,Medium,High,Medium,1,2,1,2,2,0,2,3,2
TT Intl,T09,No,0,Yes,1,Retailers,0.014,0,14.401,25.863,37,0,0,0,0,-10.2,0,-20.43,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,2
Tuan Sing,T24,No,0,No,0,Real Estate,0.25,0.39,312.767,303.72,102,-3.85,-7.41,-13.79,-23.08,1.78,26.72,34.81,0.33408256,104.49,High,High,High,Medium,High,2,1,2,0,0,2,1,2,1
Tung Lok Rest,540,No,0,No,0,Cyclical Consumer Services,0.103,25.77,28.263,89.691,62,-0.96,-6.36,-28.97,-14.17,5.13,2.03,26.36,6.169196476,174.36,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
Tye Soon,BFU,No,0,No,0,Automobiles & Auto Parts,0.34,7.04,29.67,254.4,59,-1.45,4.62,-12.82,-15,1.7,3.31,2.04,4.311425683,127.92,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,1
UGHealthcare,8K7,No,0,No,0,Healthcare Services,0.113,-10.86,70.492,94.931,88,-5.83,-34.68,8.65,-30.67,-25.18,0,-44.56,0.156755376,11.05,Medium,Medium,Low,Medium,Low,0,1,0,1,1,2,3,0,1
UMS,558,No,0,No,0,Technology Equipment,1.34,0,952.118,0.11,76,-10.07,3.88,7.2,25.23,-123.52,0,7.86,0.012645491,12.04,High,Low,Low,Low,Low,0,0,0,0,2,4,0,1,0
Uni-Asia Grp,CHJ,No,0,No,0,Industrial & Commercial Services,0.745,3.35,58.557,78.247,77,-11.31,-20.32,-21.58,-21.66,8.72,2.63,-32.63,0.836620729,48.99,Medium,Medium,Medium,High,Medium,1,2,1,1,1,0,4,1,1
Union Gas,1F2,No,0,No,0,Utilities,0.37,19.29,117.574,128.851,73,-1.33,7.25,-13.95,-6.33,9.49,4.98,-4.44,0.699219215,82.21,Medium,Medium,Medium,Medium,High,1,1,2,1,1,0,4,1,1
UnionSteel,ZB9,No,0,No,0,Mineral Resources,0.47,16.32,55.523,107.656,0,-6,54.1,46.88,104.35,11.77,2.77,14.28,1.180771932,65.56,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
United Food,AZR,Yes,1,Yes,1,Chemicals,0.043,-10.2,8.259,0.225,28,0,0,0,0,-992.87,0,-97.85,1.038866691,8.58,Low,Low,Low,High,Low,0,2,0,2,2,2,0,3,2
Universal Res,BGO,No,0,Yes,1,Energy - Fossil Fuels,0.17,-64.96,4.054,0.01,41,0,0,0,0,-714990,0,-99.94,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,2
UnUsUaL,1D1,No,0,No,0,Cyclical Consumer Services,0.179,27.24,184.223,89.285,79,-5.79,-4.79,-8.21,30.66,16.66,10.49,843.63,0.187598725,34.56,High,Medium,High,Medium,Medium,2,1,1,0,1,1,3,1,1
UOA,EH5,No,0,No,0,Real Estate,0.45,4.61,291.461,313.895,0,3.77,4.76,-2.65,-2.65,37.91,2.32,9.13,0.049303337,14.37,High,High,Medium,Low,Low,1,0,0,0,0,4,1,0,0
UOB,U11,No,0,No,0,Banking & Investment Services,29,12.49,48419.719,22242,116,1.92,4.06,0.95,-1.95,39.13,7.63,72.93,0.001970685,95.42,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
UOB Kay Hian,U10,No,0,No,0,Banking & Investment Services,1.38,9.03,1255.853,591.503,65,4.55,4.55,-0.72,-2.13,28.07,6.95,19.32,0.06275416,78.81,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
UOI,U13,No,0,No,0,Insurance,6,6.8,368.765,77.443,92,0,0.5,-2.74,-5.18,37.79,12.22,1.21,2.71E-05,0.01,High,Medium,High,Low,Low,2,0,0,0,1,3,1,1,1
UOL,U14,No,0,No,0,Real Estate,5.85,6.53,4917.523,2681.701,94,-4.75,-4.12,-8.63,-11.31,32.16,4.97,-16.24,0.010373109,51.01,High,High,Medium,Low,Medium,1,0,1,0,0,3,2,0,1
USP Group,BRS,Yes,1,Yes,1,Cyclical Consumer Products,0.042,-5.85,3.819,36.773,37,0,-38.24,-53.33,-66.4,-4.36,7.52,-10.19,36.15344331,138.07,Low,Low,High,High,High,2,2,2,2,2,0,0,5,2
UtdHampshReitUSD,ODBU,No,0,No,0,Real Estate,0.44,7.66,255.934,72.229,87.2,-2.22,-6.38,2.33,-10.2,45.68,7.76,6.8,0.309571999,79.23,High,Medium,High,Medium,High,2,1,2,0,1,1,2,2,1
