Company,Ticker,Watchlist Status,Watchlist Status_Encoded,Suspension Status,Suspension Status_Encoded,Sector,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,Price/CF,1-yr %Rev. Chg.,Debt ($M),Debt/Equity,Mkt Cap ($M) Category,Tot. Rev ($M) Category,Price/CF Category,Debt ($M) Category,Debt/Equity Category,Price/CF_Risk_Score,Debt ($M)_Risk_Score,Debt/Equity_Risk_Score,Mkt Cap ($M)_Risk_Score,Tot. Rev ($M)_Risk_Score,CountLowRisk,CountMediumRisk,CountHighRisk,Insolvency Risk (0-2)
17LIVE GROUP,LVR,No,0,No,0,Software & IT Services,1.13,-216.82,200.43,172.504,0,-23.13,-35.06,-73.67,-72.32,-99.21,0,2.124041752,2.470139201,495.09,High,Medium,Low,High,High,0,2,2,0,1,2,1,2,1
5E Resources,NLC,No,0,No,0,Industrial & Commercial Services,0.3,17.85,44.242,19.898,88,27.66,13.21,30.43,15.38,24.45,7.68,5.31,0.446860449,19.77,Medium,Low,High,Medium,Medium,2,1,1,1,2,0,3,2,1
8Telecom,AZG,No,0,Yes,1,Technology Equipment,0.069,0,8.012,0.802,57,0,0,0,0,-65.84,0,-26.76,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,2
9R,1Y1,No,0,No,0,Industrial Goods,0.041,-39.13,44.282,6.576,73,-2.38,-16.33,-10.87,-21.15,-81.37,0,0.067325088,0.423196784,18.74,Medium,Low,Low,Medium,Medium,0,1,1,1,2,1,3,1,1
ABR,533,No,0,No,0,Food & Beverages,0.465,3.66,93.463,116.854,63,0,1.09,3.33,1.09,3.06,4.33,14.86,0.55433701,51.81,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
Abundance Intl,541,No,0,No,0,Industrial & Commercial Services,0.016,-0.98,20.507,840.476,63,-15.79,-36,-33.33,-40.74,-0.06,40.13,9.5,0.66318818,13.6,Low,High,High,Medium,Low,2,1,0,2,0,2,1,2,1
Abundante,570,No,0,No,0,Mineral Resources,0.21,6.12,21.901,7.933,54,0,0,0,5,13.45,12.53,-5.12,0,0,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Accrelist Ltd,QZG,No,0,No,0,Technology Equipment,0.048,50.73,14.985,34.966,57,9.09,41.18,-9.43,-17.24,18.84,1.56,149.82,6.694694695,100.32,Low,Low,Medium,High,High,1,2,2,2,2,0,1,4,2
Acesian Partners,5FW,No,0,No,0,Industrial & Commercial Services,0.044,39.26,21.934,15.789,67,-6.38,4.76,0,-29.03,47.86,2.65,-58.63,0.16412875,3.6,Low,Low,Medium,Medium,Low,1,1,0,2,2,1,2,2,1
Acma,AYV,No,0,No,0,Industrial Goods,0.026,-97.49,1.102,12.5,62,-7.14,-13.33,-16.13,0,-16.42,0,-77.09,241.615245,266.26,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
AcroMeta,43F,No,0,No,0,Industrial & Commercial Services,0.022,177.49,6.934,69.166,63,-21.43,-26.67,-43.59,-43.59,5.45,1.43,12.62,28.25209115,195.9,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
Addvalue Tech,A31,Yes,1,No,0,Technology Equipment,0.008,-39.81,25.936,13.089,58,-11.11,-11.11,-27.27,-27.27,-27.06,0,54.08,1.22840839,31.86,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Advanced,BLZ,No,0,No,0,Energy - Fossil Fuels,0.123,-10.2,12.733,8.372,92,-3.15,-8.89,-49.8,53.75,-53.07,0,-36.93,0.643995916,8.2,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Advanced Systems,5TY,No,0,No,0,Technology Equipment,0.001,0,22.324,12.928,56,0,0,0,0,-32.88,0,-14.05,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
Advancer Global,43Q,No,0,No,0,Industrial & Commercial Services,0.11,-11.54,27.76,65.081,78,14.58,-5.17,11.11,37.5,-6.48,0,3.13,0.314841499,8.74,Medium,Medium,Low,Medium,Low,0,1,0,1,1,2,3,0,1
Adventus,5EF,No,0,No,0,Real Estate,0.004,-25.64,9.806,3.372,72,33.33,0,-33.33,-50,-228.7,0,0.022481124,29.80624108,292.28,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
AEM SGD,AWX,No,0,No,0,Technology Equipment,2.18,-0.26,679.913,481.283,78,-20.73,-33.54,-34.53,-26.1,-0.24,27.59,-44.71,0.043446735,29.54,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
AF Global,L38,No,0,No,0,Cyclical Consumer Services,0.092,1.26,95.008,28.376,72,-8.16,12.5,23.29,-1.1,23.02,9.48,74.73,0.120937184,11.49,Medium,Low,High,Medium,Low,2,1,0,1,2,1,2,2,1
AIMS APAC Reit,O5RU,No,0,No,0,Real Estate,1.27,5.12,1021.31,171.016,93.8,-0.79,-3.08,-3.82,-2.16,54.55,10.94,6.66,0.064495599,65.87,High,Medium,High,Low,High,2,0,2,0,1,2,1,2,1
AJJ Medtech,584,No,0,No,0,Healthcare Services,0.005,0,6.885,1.615,79,0,-28.57,-16.67,-16.67,-158.39,0,139.97,15.94480755,109.78,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Alita Resources,40F,No,0,Yes,1,Mineral Resources,0.078,-43.51,113.016,63.721,48,0,0,0,0,-69.42,0,0.64,0.13272457,15,Medium,Medium,Low,Medium,Medium,0,1,1,1,1,1,4,0,2
Alliance HC,MIJ,No,0,No,0,Healthcare Services,0.135,5.39,28.065,62.755,75,-4.26,-20.59,3.85,0,1.62,6.57,13.87,1.545697488,43.38,Medium,Medium,Medium,High,Medium,1,2,1,1,1,0,4,1,1
AlphaDX,VVL,No,0,Yes,1,Software & IT Services,0.112,-1317.81,27.757,9.043,0,0,0,0,0,-1367.38,0,0.09043,0.718377346,19.94,Medium,Low,Low,Medium,Medium,0,1,1,1,2,1,3,1,2
Alpina Holdings,ZXY,No,0,No,0,Industrial & Commercial Services,0.184,-0.81,33.919,64.159,67,2.79,-0.54,-3.16,-8,-0.36,25.89,28.61,0.95521684,32.4,Medium,Medium,High,High,Medium,2,2,1,1,1,0,3,2,1
Alset,40V,No,0,No,0,Real Estate,0.024,-3.74,87.318,25.516,73,0,-19.35,-41.86,8.7,-12.87,0,751.67,0.016376921,1.43,Medium,Low,Low,Low,Low,0,0,0,1,2,3,1,1,1
Amara,A34,No,0,No,0,Cyclical Consumer Services,0.585,1.84,337.508,114.939,60,-3.31,-2.5,37.65,85.71,6.25,22.16,22.69,0.267697358,90.35,High,Medium,High,Medium,High,2,1,2,0,1,1,2,2,1
Amcorp Global,S9B,No,0,No,0,Real Estate,0.123,1.64,55.03,65.801,77,6.03,6.03,11.82,2.5,8.35,8.86,-15.07,3.196801745,175.92,Medium,Medium,High,High,High,2,2,2,1,1,0,2,3,2
AMOS Group,49B,Yes,1,No,0,Industrial Goods,0.04,-12.71,8.333,91.673,54,-21.57,-16.67,-63.64,-63.3,-12,0,-6.94,3.838953558,31.99,Low,Medium,Low,High,Medium,0,2,1,2,1,1,2,2,2
Amplefield Ltd,AOF,No,0,No,0,Real Estate,0.023,-3.02,20.714,8.622,86,21.05,21.05,-4.17,4.55,-19.13,0,-29.19,0.56049049,11.61,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
AMTD IDEA OV,HKB,No,0,No,0,Banking & Investment Services,10,11.69,134.047,194.191,0,1.78,-6.54,-51.41,-61.78,84.37,163.84,64.2,0.014024932,1.88,Medium,High,High,Low,Low,2,0,0,1,0,3,1,1,1
AnAn Intl,Y35,No,0,No,0,Energy - Fossil Fuels,0.004,5.88,16.933,3461.523,32,-60,-69.23,-78.95,-81.82,0.49,0.49,-19.42,6.900135829,116.84,Low,High,Medium,High,High,1,2,2,2,0,1,1,3,2
Anchun Intl,BTX,No,0,No,0,Industrial Goods,0.265,0.79,13.382,24.921,64,-10.17,-7.02,-14.52,-14.52,1.79,6.56,-26.89,0,0,Low,Low,Medium,Low,Low,1,0,0,2,2,2,1,2,1
AnnAik,A52,No,0,No,0,Mineral Resources,0.065,4.94,19.114,47.659,75,4.84,-4.41,-4.41,-13.33,9.56,2.46,-45.72,2.513341007,48.04,Low,Medium,Medium,High,Medium,1,2,1,2,1,0,3,2,1
Annica,5AL,No,0,No,0,Energy - Fossil Fuels,0.001,0,16.975,16.047,45,0,0,0,0,-6.06,0,7.07,13.59116348,230.71,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Aoxin Q & M,1D4,No,0,No,0,Healthcare Services,0.051,-16.38,26.076,33.059,81,0,-19.05,-33.77,-55.65,-26.68,0,26.86,0.395382727,10.31,Medium,Low,Low,Medium,Low,0,1,0,1,2,2,2,1,1
AP Oil,5AU,No,0,No,0,Chemicals,0.12,0.91,19.744,46.217,67,6.19,7.14,-6.98,-24.05,1.13,7.95,-24.37,0.443679092,8.76,Low,Medium,High,Medium,Low,2,1,0,2,1,1,2,2,1
AP Strategic,5RA,No,0,No,0,Cyclical Consumer Services,0.001,-10.32,17.829,0.0015,51,0,0,0,-50,0.12,0,0,0.905827584,16.15,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
APAC Realty,CLN,No,0,No,0,Real Estate,0.45,7.39,161.615,554.492,81,1.11,-5.21,-13.33,-27.78,1.91,10.6,-20.83,0.177891904,28.75,High,High,High,Medium,Medium,2,1,1,0,0,2,2,1,1
ARA HTrust USD,XZL,No,0,No,0,Real Estate,0.285,-2.51,165.329,175.496,77.6,-3.39,-6.56,-1.72,-20.83,-6.35,9.33,3.83,0.4287814,70.89,High,Medium,High,Medium,High,2,1,2,0,1,1,2,2,1
Asia Enterprises,A55,No,0,No,0,Mineral Resources,0.137,6.14,46.843,95.45,67,-2.84,3.79,-2.84,-14.37,6.35,5.31,29.83,0.196614222,9.21,Medium,Medium,Medium,Medium,Low,1,1,0,1,1,1,4,0,1
Asia Vets,5RE,No,0,No,0,Healthcare Services,0.034,-4.08,4.969,2.326,67,30.77,17.24,-46.88,0,-31.99,0,-3.94,0.330046287,1.64,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
AsiaMedic,505,No,0,No,0,Healthcare Services,0.01,15.88,11.546,23.513,66,-16.67,-16.67,-16.67,0,8.17,2.89,24.52,5.792482245,66.88,Low,Low,Medium,High,High,1,2,2,2,2,0,1,4,2
Asian Micro,585,No,0,No,0,Utilities,0.003,-40.08,6.859,3.623,59,0,0,0,0,-20.99,0,-11.11,1.371920105,9.41,Low,Low,Low,High,Low,0,2,0,2,2,2,0,3,2
Asian Pay Tv Tr,S7OU,No,0,No,0,Cyclical Consumer Services,0.082,-44.42,148.121,266.395,60.6,-5.75,-4.65,-14.58,-23.36,-152.56,0,-6.84,0.781793264,115.8,Medium,High,Low,High,High,0,2,2,1,0,2,1,2,1
AsiaPhos,5WV,No,0,No,0,Chemicals,0.007,-214.67,7.221,1.674,58,-12.5,-22.22,-22.22,-30,-236.02,0,-30.68,92.72676915,669.58,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Asiatic,5CR,No,0,No,0,Industrial Goods,0.002,-26.42,6.467,43.276,78,0,100,-33.33,-33.33,-8.74,0,5.71,15.57445493,100.72,Low,Medium,Low,High,High,0,2,2,2,1,1,1,3,2
ASL Marine,A04,Yes,1,No,0,Industrial Goods,0.065,41.69,40.08,377.846,69,1.67,-6.15,12.96,27.08,6.9,0.51,40.78,15.2507485,611.25,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,2
A-Smart,BQC,No,0,No,0,Industrial & Commercial Services,0.094,-4.26,25.221,6.994,59,-6.93,-49.9,-44.62,-61.03,-10.19,156.65,26.47,0.593156497,14.96,Low,Low,High,Medium,Medium,2,1,1,2,2,0,2,3,2
A-Sonic Aero,BTJ,No,0,No,0,Transportation,0.36,2.19,38.943,291.269,58,-3.95,7.35,-7.59,-24.74,0.21,11.45,-42.97,0.12659528,4.93,Medium,High,High,Medium,Low,2,1,0,1,0,2,2,1,1
Aspen,1F3,No,0,No,0,Real Estate,0.04,7.19,43.333,76.429,48,8.11,90.48,48.15,14.29,-4.77,102.34,-14.84,2.101862322,91.08,Medium,Medium,High,High,High,2,2,2,1,1,0,2,3,2
Aspial Corp,A30,No,0,No,0,Cyclical Consumer Products,0.067,-6.43,147.75,599.998,71,-9.59,-14.29,6.45,-14.29,-2.85,8.78,18.52,2.293401015,338.85,Medium,High,High,High,High,2,2,2,1,0,1,1,3,2
Aspial Lifestyle,5UF,No,0,No,0,Retailers,0.123,11.71,177.338,471.581,76,-0.79,2.46,-8.09,-16.67,4.19,3.53,47.83,2.097689159,372,High,High,Medium,High,High,1,2,2,0,0,2,1,2,1
Astaka,42S,No,0,No,0,Real Estate,0.088,3.78,164.51,17.295,47,0,0,0,0,0.65,688.6,0.17,0.095374141,15.69,High,Low,High,Medium,Medium,2,1,1,0,2,1,2,2,1
ASTI,575,Yes,1,Yes,1,Technology Equipment,0.014,1.91,9.536,62.929,68,0,0,0,0,-0.53,1.05,3.98,0.725671141,6.92,Low,Medium,Medium,Medium,Low,1,1,0,2,1,1,3,1,2
Atlantic Nav,5UL,No,0,No,0,Energy - Fossil Fuels,0.275,19.94,143.966,122.699,51,1.85,0,-8.33,175,19.9,3.67,1.2,0.344803634,49.64,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
Audience,1AZ,No,0,No,0,Cyclical Consumer Services,0.335,27.33,57.084,14.63,66,-1.47,4.69,6.35,13.56,31.7,11.8,3.51,0.011386728,0.65,Medium,Low,High,Low,Low,2,0,0,1,2,2,1,2,1
AusGroup,5GJ,No,0,Yes,1,Energy - Fossil Fuels,0.009,-137.22,27.882,215.224,52,0,0,0,0,-12.93,0,25.63,7.20715874,200.95,Medium,High,Low,High,High,0,2,2,1,0,2,1,2,2
Avarga,U09,No,0,No,0,Cyclical Consumer Products,0.184,2.75,173.877,1699.978,79,0,5.78,-2.66,-12.86,1.49,3.94,-28.22,0.223721366,38.9,High,High,Medium,Medium,Medium,1,1,1,0,0,2,3,0,1
Avi-Tech Hldg,1R6,No,0,No,0,Technology Equipment,0.245,7.8,41.906,33.758,72,-7.55,-5.77,-3.92,-10.91,12.08,7.67,1.96,0.043669164,1.83,Medium,Low,High,Low,Low,2,0,0,1,2,2,1,2,1
AVJennings A$,A05,No,0,No,0,Real Estate,0.285,2.01,189.812,254.312,0,17.24,23.64,-1.6,3.58,3.49,16.74,3.22,0.211577772,40.16,High,High,High,Medium,Medium,2,1,1,0,0,2,2,1,1
Azeus,BBW,No,0,No,0,Software & IT Services,8.3,34.98,253.2,46.421,50,8.21,8.21,-1.86,1.69,21.39,22.82,12.84,0.00335703,0.85,High,Medium,High,Low,Low,2,0,0,0,1,3,1,1,1
Aztech Gbl,8AZ,No,0,No,0,Industrial Goods,1.03,31.8,804.779,896.286,78,10.64,14.92,28.4,29.19,11.16,7.4,9.27,0.00370288,2.98,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
B&M Hldg,CJN,Yes,1,No,0,Banking & Investment Services,0.2,-15.61,1.752,1.818,68,-93.24,-93.24,-93.24,0,-100.96,0,-81.82,2.328767123,4.08,Low,Low,Low,High,Low,0,2,0,2,2,2,0,3,2
BACUI TECH,YYB,No,0,No,0,Industrial & Commercial Services,0.002,33.25,2.178,26.106,72,-50,-50,-66.67,-71.43,2.83,2.7,6806.35,0,0,Low,Low,Medium,Low,Low,1,0,0,2,2,2,1,2,1
Baker Technology,BTP,No,0,No,0,Energy - Fossil Fuels,0.515,3.88,104.482,91.415,87,3,-2.83,-5.5,-15.57,4.24,5.83,-7.19,0.050726441,5.3,Medium,Medium,Medium,Low,Low,1,0,0,1,1,2,3,0,1
Ban Leong,B26,No,0,No,0,Technology Equipment,0.355,13.79,41.94,205.797,67,10.77,5.88,-5.26,-5.26,2.83,5.9,-5.23,0.334048641,14.01,Medium,High,Medium,Medium,Low,1,1,0,1,0,2,3,0,1
Banyan Tree,B58,No,0,No,0,Cyclical Consumer Services,0.375,5.39,325.475,327.911,85,11.94,7.14,-6.25,8.7,10.02,5.69,20.85,0.235624856,76.69,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
BBR,KJ5,No,0,No,0,Industrial & Commercial Services,0.112,6.2,36.368,237.297,72,-5.08,-5.88,-9.68,-2.61,3.35,3.22,39.19,3.763198416,136.86,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,1
Beng Kuang,BEZ,Yes,1,No,0,Industrial & Commercial Services,0.077,43.67,15.339,79.162,69,-4.94,30.51,26.23,108.11,10,1.4,33.87,23.54716735,361.19,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
Best World,CGN,No,0,No,0,Retailers,1.92,22.31,861.435,514.51,64,4.95,11.05,16.46,-20.42,23.42,6.39,-7.69,0.007650026,6.59,High,High,Medium,Low,Low,1,0,0,0,0,4,1,0,0
BeverlyJCG,9QX,No,0,No,0,Healthcare Services,0.012,0,6.462,8.041,0,-47.62,-78,-78,-78,-30,0,-23.49,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
BH Global,BQN,No,0,No,0,Industrial Goods,0.159,6.26,47.7,59.154,64,27.2,127.14,109.21,0,4.51,9.85,7.19,0.639203354,30.49,Medium,Medium,High,Medium,Medium,2,1,1,1,1,0,4,1,1
BHG Retail Reit,BMGU,No,0,No,0,Real Estate,0.485,-0.96,252.007,61.976,80.8,1.04,-3,7.78,-1.02,6.19,64.37,-6.71,0.281619161,70.97,High,Medium,High,Medium,High,2,1,2,0,1,1,2,2,1
Biolidics,8YY,No,0,No,0,Healthcare Services,0.011,0,8.192,1.315,65,-15.38,-15.38,-15.38,-31.25,-189.2,0,-47.17,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
BlackGoldNatural,41H,No,0,Yes,1,Energy - Fossil Fuels,0.003,0,3.225,15.702,66,0,0,0,-25,-9.75,0,-10.68,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,2
Boldtek,5VI,No,0,Yes,1,Real Estate,0.035,0,12.378,-2.892,57,0,0,0,0,0,0,-106.76,8.754241396,108.36,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Bonvests,B28,No,0,No,0,Cyclical Consumer Services,0.92,0.85,369.396,216.758,63,-4.66,-8.91,-8.91,-8,3.23,11.35,3.7,0.12214534,45.12,High,High,High,Medium,Medium,2,1,1,0,0,2,2,1,1
Boustead,F9D,No,0,No,0,Industrial & Commercial Services,0.94,11.05,465.063,682.698,76,7.51,9.41,8.77,10.71,8.62,6.96,26.81,0.036919729,17.17,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
BRC Asia,BEC,No,0,No,0,Cyclical Consumer Products,1.91,18.34,527.115,1626.998,80,2.14,7.91,14.37,16.34,4.66,5.6,-4.25,0.217865172,114.84,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
Broadway Ind,B69,No,0,No,0,Industrial Goods,0.121,3.66,55.214,258.772,76,31.46,34.48,50,27.17,0.97,3.89,-26.57,0.260622306,14.39,Medium,High,Medium,Medium,Low,1,1,0,1,0,2,3,0,1
Brook Crompton,AWC,No,0,No,0,Industrial Goods,0.51,10.18,18.084,71.81,74,5.15,2,0.99,-25.55,5.81,3.46,16.3,0.409754479,7.41,Low,Medium,Medium,Medium,Low,1,1,0,2,1,1,3,1,1
Bukit Sembawang,B61,No,0,No,0,Real Estate,3.11,3.21,807.803,340.75,71,-3.41,-7.69,-19.59,-24.25,13.81,15.01,62.22,0.00565732,4.57,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
Bumitama Agri,P8Z,No,0,No,0,Food & Beverages,0.685,18.99,1203.909,1319.915,71,7.87,16.1,19.13,25.45,18.98,3.75,-2.44,0.022310656,26.86,High,High,Medium,Low,Medium,1,0,1,0,0,3,2,0,1
Bund Center,BTE,No,0,No,0,Real Estate,0.4,2.96,304.196,83.889,64,0,-2.44,-11.11,-13.04,13.7,15.23,24.08,0,0,High,Medium,High,Low,Low,2,0,0,0,1,3,1,1,1
Camsing Hc,BAC,No,0,Yes,1,Retailers,1.07,0,30.754,5.813,44,0,0,0,0,-42.03,0,1.68,0,0,Medium,Low,Low,Low,Low,0,0,0,1,2,3,1,1,2
CapAllianz,594,No,0,No,0,Energy - Fossil Fuels,0.002,-3.84,17.105,4.498,59,0,0,0,0,-41.28,66.77,-10.23,0.043846828,0.75,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Capital World,1D5,No,0,No,0,Real Estate,0.002,19.24,42.806,-1.091,53,0,0,0,0,0.12,4.11,-0.01,0.000467224,0.02,Medium,Low,Medium,Low,Low,1,0,0,1,2,2,2,1,1
CapitaLandInvest,9CI,No,0,No,0,Real Estate,2.7,1.21,13996.597,2784,104,-2.89,-9.73,-12.94,-21.45,11.96,29.47,-3.2,0.005792122,81.07,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
CapLand Ascendas REIT,A17U,No,0,No,0,Real Estate,2.74,1.74,12038.483,1479.778,109.6,-2.49,-7.74,-2.14,-1.08,12.06,67.45,9.4,0.005493217,66.13,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
CapLand Ascott T,HMN,No,0,No,0,Real Estate,0.93,4.78,3511.728,744.558,112.1,2.2,-4.12,-5.1,-6.53,30.86,13.07,19.85,0.02051127,72.03,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
CapLand China T,AU8U,No,0,No,0,Real Estate,0.74,1.65,1241.314,364.746,98.3,-3.29,-19.23,-16.48,-33.78,15.07,22.17,-4.81,0.065333993,81.1,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
CapLand India T,CY6U,No,0,No,0,Real Estate,1.04,10.4,1391.968,234.053,106.9,-0.95,-7.96,-7.14,-1.15,67.3,8.77,11.13,0.069196993,96.32,High,High,High,Medium,High,2,1,2,0,0,2,1,2,1
CapLand IntCom T,C38U,No,0,No,0,Real Estate,1.96,0,13143.316,1559.934,106.5,1.55,-1.5,5.35,2.6,55.72,15.04,8.2,0.005195797,68.29,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
Captii,AWV,No,0,No,0,Telecommunications Services,0.315,-20.41,10.067,18.281,59,0,-19.23,-18.18,-26.74,-64.09,0,-21.37,0.295023344,2.97,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Casa,C04,No,0,No,0,Cyclical Consumer Products,0.077,3.42,16.157,23.459,48,5.48,-8.33,-9.41,5.48,7.33,6.44,8.23,0.371974995,6.01,Low,Low,Medium,Medium,Low,1,1,0,2,2,1,2,2,1
CDL HTrust,J85,No,0,No,0,Real Estate,0.99,6.72,1234.827,257.556,86.2,3.13,-9.17,-6.6,-14.66,48.13,8.46,12.3,0.054946968,67.85,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
CDW,BXE,No,0,No,0,Technology Equipment,0.173,-1.88,43.627,147.259,84,-8.95,-10.82,-15.61,-26.38,-1.3,18.35,-26.2,0.62507163,27.27,Medium,Medium,High,Medium,Medium,2,1,1,1,1,0,4,1,1
Centurion,OU8,No,0,No,0,Real Estate,0.43,20.24,327.325,207.245,95,2.35,7.41,6.1,29.85,84.88,1.82,14.85,0.333582831,109.19,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
CFM,5EB,No,0,No,0,Industrial Goods,0.08,10.05,16.123,30.15,66,-3.61,-6.98,-11.11,-24.53,7.07,5.61,5.25,0.882590089,14.23,Low,Low,Medium,High,Low,1,2,0,2,2,1,1,3,2
CH Offshore,C13,Yes,1,No,0,Energy - Fossil Fuels,0.05,-19.21,35.255,32.486,79,0,-27.54,-41.86,-3.85,-33.3,0,29.54,0.414692951,14.62,Medium,Low,Low,Medium,Low,0,1,0,1,2,2,2,1,2
Charisma Energy,5QT,No,0,Yes,1,Utilities,0.002,0,26.456,7.877,52,0,0,0,0,-7.21,131.69,-30.44,0,0,Medium,Low,High,Low,Low,2,0,0,1,2,2,1,2,2
Chasen,5NV,No,0,No,0,Transportation,0.096,2.29,36.768,158.62,60,17.28,102.13,86.27,72.73,1.06,1.95,-1.93,3.615916014,132.95,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
Chemical Ind,C05,No,0,No,0,Chemicals,0.575,1.12,43.669,88.158,50,9.52,1.77,0,-19.01,1.64,6.86,-12.31,0.078774417,3.44,Medium,Medium,Medium,Medium,Low,1,1,0,1,1,1,4,0,1
China Aviation,G92,No,0,No,0,Transportation,0.91,6.36,783.896,19455.393,79,-3.72,5.23,2.26,0,0.4,8.68,-12.36,0.001773194,1.39,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
China Env,5OU,No,0,Yes,1,Industrial & Commercial Services,0.037,-23.23,30.819,1.091,59,0,0,0,0,-1530.68,0,0.01,0.698919498,21.54,Medium,Low,Low,Medium,Medium,0,1,1,1,2,1,3,1,2
China Env Res,RS1,No,0,No,0,Automobiles & Auto Parts,0.006,-16.8,92.866,82.185,0,-20.83,-32.14,-5,-7.32,-95.22,0,-14.85,0.250683781,23.28,Medium,Medium,Low,Medium,Medium,0,1,1,1,1,1,4,0,1
China Everbright,U9E,No,0,No,0,Utilities,0.22,9.9,629.393,1155.764,78,-2.22,7.32,4.76,4.76,18.81,2.48,-0.35,0.205992123,129.65,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
China Fishery,B0Z,No,0,Yes,1,Food & Beverages,0.076,2.22,268.778,657.472,45,0,0,0,0,6.61,2.06,-20.31,0.389689632,104.74,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,2
China Intl,BEH,No,0,No,0,Industrial & Commercial Services,0.07,-20.15,7.018,18.261,53,20,52.54,23.29,-1.1,-75.59,0,-5.49,3.726132801,26.15,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
China Mining,BHD,No,0,No,0,Real Estate,0.021,-38.69,8.568,1.584,51,5,-12.5,-16,0,-842.88,0,-85.94,7.18837535,61.59,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
China Yuanbang,BCD,No,0,No,0,Real Estate,0.25,-35.95,17.35,44.691,67,37.36,-1.96,-32.43,-7.41,-97.7,0,202.63,5.797694524,100.59,Low,Medium,Low,High,High,0,2,2,2,1,1,1,3,2
ChinaKangdaFood,P74,No,0,No,0,Food & Beverages,0.039,-2.8,108.237,1868.905,56,-24.24,31.58,19.05,-10.71,-0.87,2.51,7.6,0.702901965,76.08,Medium,High,Medium,Medium,High,1,1,2,1,0,1,3,1,1
ChinaKundaTech,GU5,No,0,No,0,Chemicals,0.009,-46.57,3.688,5.418,71,-18.18,-18.18,-25,-30.77,-23.46,0,37.7,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
ChinaSunsine,QES,No,0,No,0,Chemicals,0.4,9.78,393.355,650.977,67,5.26,2.56,-2.44,-10.83,10.67,4.07,-8.75,0,0,High,High,Medium,Low,Low,1,0,0,0,0,4,1,0,0
Choo Chiang,42E,No,0,No,0,Industrial Goods,0.36,17.44,74.88,91.006,78,-8.86,2.86,0,20,11.58,6.46,3.9,0.072649573,5.44,Medium,Medium,Medium,Medium,Low,1,1,0,1,1,1,4,0,1
Chuan Hup,C33,No,0,No,0,Real Estate,0.176,2.06,163.775,8.198,70,12.03,3.51,-5.85,-15.71,73.22,22.62,-5.47,0.012517173,2.05,High,Low,High,Low,Low,2,0,0,0,2,3,0,2,1
